method,condition,game,seed,agent_actions,frames,episode_index,episode_score,episode_hns
DreamerV3,official_size12m,Alien,1,28529,114116,51,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,1,29375,117500,52,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,1,29931,119724,53,430.0,2.930477253293526
DreamerV3,official_size12m,Alien,1,30575,122300,54,420.0,2.785547616632125
DreamerV3,official_size12m,Alien,1,31041,124164,55,400.0,2.4956883433093235
DreamerV3,official_size12m,Alien,1,31692,126768,56,570.0,4.959492166553138
DreamerV3,official_size12m,Alien,1,32396,129584,57,430.0,2.930477253293526
DreamerV3,official_size12m,Alien,1,32892,131568,58,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,1,33755,135020,59,1150.0,13.36541109291439
DreamerV3,official_size12m,Alien,1,34338,137352,60,500.0,3.9449847099233324
DreamerV3,official_size12m,Alien,1,34895,139580,61,600.0,5.394281076537341
DreamerV3,official_size12m,Alien,1,35416,141664,62,420.0,2.785547616632125
DreamerV3,official_size12m,Alien,1,36065,144260,63,470.0,3.5101957999391296
DreamerV3,official_size12m,Alien,1,36791,147164,64,580.0,5.10442180321454
DreamerV3,official_size12m,Alien,1,37262,149048,65,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,1,37846,151384,66,470.0,3.5101957999391296
DreamerV3,official_size12m,Alien,1,38403,153612,67,510.0,4.089914346584734
DreamerV3,official_size12m,Alien,1,38898,155592,68,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,1,39336,157344,69,500.0,3.9449847099233324
DreamerV3,official_size12m,Alien,1,39804,159216,70,420.0,2.785547616632125
DreamerV3,official_size12m,Alien,1,40401,161604,71,560.0,4.814562529891738
DreamerV3,official_size12m,Alien,1,40834,163336,72,390.0,2.3507587066479223
DreamerV3,official_size12m,Alien,1,41307,165228,73,380.0,2.2058290699865215
DreamerV3,official_size12m,Alien,1,42132,168528,74,590.0,5.249351439875941
DreamerV3,official_size12m,Alien,1,42720,170880,75,420.0,2.785547616632125
